Latitude: 35.9621  Longitude: -84.2916
X & Y on Lambert Conformal Conic: 1353940.26 -566314.67
Tile: 11208
Elevation: 310 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S. Kao; and B.E. Wilson. 2020. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4. ORNL DAAC; Oak Ridge; Tennessee; USA.  https://doi.org/10.3334/ORNLDAAC/1840 

year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,256,44252.56,0.00,432.75,0.00,29.81,16.26,1847.46
2021,257,44112.65,0.00,412.90,0.00,30.35,17.57,2008.16
2021,258,43972.58,0.00,326.31,0.00,27.49,18.60,2142.03
2021,259,43832.37,22.34,265.45,0.00,28.90,18.61,2142.79
2021,260,43692.06,0.00,338.02,0.00,28.43,18.75,2162.89
2021,261,43551.66,21.87,134.29,0.00,24.44,19.84,2314.20
2021,262,43411.21,2.83,175.47,0.00,26.18,19.99,2335.31
2021,263,43270.71,23.52,117.22,0.00,23.30,19.41,2253.03
2021,264,43130.21,10.91,210.41,0.00,25.96,18.52,2131.99
2021,265,42989.71,10.28,178.81,0.00,21.25,15.45,1754.25
2021,266,42849.26,0.00,408.27,0.00,21.03,9.66,1200.00
2021,267,42708.86,0.00,460.89,0.00,22.64,7.57,1040.91
2021,268,42568.55,0.00,448.98,0.00,23.31,8.71,1125.47
2021,269,42428.34,0.00,426.72,0.00,24.09,10.66,1282.32
2021,270,42288.27,0.00,446.37,0.00,26.63,10.75,1290.44
2021,271,42148.35,0.00,420.25,0.00,27.05,12.75,1472.78
2021,272,42008.62,0.00,406.79,0.00,28.00,14.09,1606.99
2021,273,41869.10,0.00,381.08,0.00,28.39,15.51,1761.01
2021,274,41729.80,0.00,358.89,0.00,27.37,15.59,1770.13
2021,275,41590.77,8.50,234.13,0.00,26.24,16.52,1878.70
2021,276,41452.02,29.01,84.92,0.00,20.96,17.97,2059.58
2021,277,41313.57,2.26,205.32,0.00,26.29,18.12,2078.89
2021,278,41175.47,1.50,153.24,0.00,21.59,17.46,1993.55
2021,279,41037.73,11.23,192.45,0.00,25.86,18.37,2111.47
2021,280,40900.37,33.14,233.23,0.00,26.66,17.13,1953.13
2021,281,40763.44,2.62,210.09,0.00,25.45,17.23,1964.93
2021,282,40626.95,0.00,328.53,0.00,25.42,15.29,1736.56
2021,283,40490.94,0.00,338.20,0.00,26.21,15.47,1756.90
2021,284,40355.43,0.00,337.67,0.00,26.00,15.31,1738.99
2021,285,40220.46,0.00,214.54,0.00,21.74,15.99,1815.76
2021,286,40086.04,0.00,316.80,0.00,25.61,16.00,1817.20
2021,287,39952.23,0.00,329.00,0.00,27.09,16.62,1890.80
2021,288,39819.04,33.01,240.56,0.00,27.32,17.04,1941.71
2021,289,39686.50,2.04,237.09,0.00,20.30,11.11,1321.80
2021,290,39554.66,0.00,396.92,0.00,19.19,5.15,881.36
